Original_Variable,New_Variable
ObesityDx,ObesityDx
Omalizumab,OmalizumabRx
ORIGINAL_ANALYTIC_SAMPLE,ORIGINAL_ANALYTIC_SAMPLE
OvarianCancerDx,OvarianCancerDx
OvarianDysfunctionDx,OvarianDysfunctionDx
Paroxetine,ParoxetineRx
PM25_ANNUAL_AVERAGE_cut,PM25_ANNUAL_AVERAGE_cut
PM25_ANNUAL_AVERAGE_qcut,PM25_ANNUAL_AVERAGE_qcut
PM25_N_OBS,PM25_N_OBS
PneumoniaDx,PneumoniaDx
Prasterone,PrasteroneRx
Prednisone,PrednisoneRx
PregnancyDx,PregnancyDx
Progesterone,ProgesteroneRx
Propranolol,PropranololRx
ProstateCancerDx,ProstateCancerDx
QXAGE,QXAGE
QXAGE2,QXAGE2
Race,Race
RACE,RACE
ReactiveAirwayDx,ReactiveAirwayDx
RESPONDER_STATUS,RESPONDER_STATUS
ROADTYPE,ROADTYPE
RoadwayAADT,RoadwayAADT
RoadwayDistanceExposure,RoadwayDistanceExposure
RoadwayDistanceExposure2,RoadwayDistanceExposure2
RoadwayLanes,RoadwayLanes
RoadwaySpeedLimit,RoadwaySpeedLimit
RoadwayType,RoadwayType
S177_SMOKE_100_CIG_LIFETIME,S177_SMOKE_100_CIG_LIFETIME
Salmeterol,SalmeterolRx
Sertraline,SertralineRx
Sex,Sex
Sex2,Sex2
SMOKE_CAT,SMOKE_CAT
SNP1,SNP1
SNP2,SNP2
SNP3,SNP3
SNP4,SNP4
SPEED,SPEED
Tamoxifen,TamoxifenRx
TesticularCancerDx,TesticularCancerDx
TesticularDysfunctionDx,TesticularDysfunctionDx
Testosterone,TestosteroneRx
Theophylline,TheophyllineRx
THROUGH_LANES,THROUGH_LANES
TLR4_AGE,TLR4_AGE
TLR4_AGE2,TLR4_AGE2
TLR4_DIST_1X_cut,TLR4_DIST_1X_cut
TLR4_DIST_1X_qcut,TLR4_DIST_1X_qcut
TLR4_DIST_2X_cut,TLR4_DIST_2X_cut
TLR4_DIST_2X_qcut,TLR4_DIST_2X_qcut
TLR4_DIST_3X_cut,TLR4_DIST_3X_cut
TLR4_DIST_3X_qcut,TLR4_DIST_3X_qcut
TotalEDInpatientVisits,TotalEDInpatientVisits
TotalEDVisits,TotalEDVisits
TotalInpatientVisits,TotalInpatientVisits
Trazodone,TrazodoneRx
Triptorelin,TriptorelinRx
ur,ur
UterineCancerDx,UterineCancerDx
Venlafaxine,VenlafaxineRx
year,year
